,past,present,future,swear,affect,posemo,negemo,anx,anger,sad,discrep
human-computer interaction,0.1044763883024604,0.06907338259753432,0.013627073761190819,0.01179857119398382,0.06889052515661381,0.06528434206999681,0.01581926502275794,0.005226843055212718,0.013402323773517348,0.0029168670745808012,0.06479807586795383
open platform,0.025648784370985396,0.13760382982408767,0.019203473224587014,0.00890939340612391,0.06843349205438123,0.051658512775852504,0.02552492154303697,0.005797456455141911,0.025469264515979306,0.006275598936046533,0.025265343762228373
open-source software,0.027009992862806843,0.08763193927167502,0.013229660002607255,0.0029331237932879923,0.059512329172742635,0.048286622774491285,0.018546408103969823,0.0032630825292149722,0.008498238585930976,0.0035371756335104867,0.024403890637780198
temporary work,0.023309960737469472,0.08126019746405648,0.010679573241191658,0.005201956422343362,0.04629729113578738,0.03083559274185698,0.016434243651569026,0.0024995911515884924,0.009245111781787125,0.0026579501501198346,0.020701051655829635
digital identity,0.016820157920755335,0.09935584127975364,0.012082016241115571,0.003806193164902177,0.06879859578151148,0.055561486252706946,0.017415355121799196,0.005031913418940183,0.010695910310629886,0.0031352926236431792,0.022286232103895093
smart city,0.023939600569250315,0.07826574272876151,0.013547938234966155,0.0037990574250520988,0.05296991683729785,0.03793313352600301,0.016155045877411258,0.0027269275157036383,0.007154382992835985,0.0033409936551058814,0.02043342394236325
robot tax,0.020387341038643446,0.08132883223266969,0.017991572597409276,0.004465034079116516,0.060596160986583665,0.04930982368702407,0.02215093699384101,0.0032528920543440426,0.00926365938091106,0.006364486482649844,0.02254662796224136
blockchain,0.01855567763049457,0.08682087486984714,0.012941055121992298,0.001925931913703486,0.052956956776997625,0.04014237194985416,0.013308315712423899,0.0017678419675270652,0.004768210377197206,0.0023217139486087965,0.018047503117526693
sustainability,0.020930370600943573,0.0801686205952387,0.010354465472689985,0.0024643453358446084,0.05045283789029968,0.03329859207165375,0.017199819911365145,0.001900671564679541,0.006731537823925406,0.00342863500250682,0.01960419326324189
user interface,0.026259503571311512,0.08334348168176851,0.00978690742506753,0.003939910656543484,0.05271904611779124,0.03657979504391907,0.01723145891284945,0.0015850051728676128,0.007438602942659623,0.0023942231630252656,0.01979427596481117
smart grid,0.03145945188767235,0.08495453994386791,0.013911662105517877,0.004792410085457374,0.057509274414349346,0.051489573071516685,0.011728950002386064,0.003630964447208437,0.008049834296308346,0.0033963682736026474,0.025515874607416538
virtual currency,0.02074635208392505,0.08651968773238011,0.013105263026574955,0.003769205407990374,0.05272697016700574,0.037732960105831985,0.01705951591413261,0.002431139240913928,0.007432646675856285,0.0033300132511434105,0.019135490640327508
semantic analysis,0.03390827345213784,0.10744226222012355,0.00934625519053243,0.006144393241167436,0.058591953636051984,0.04433201572939062,0.02516018326990683,0.0031238233092450046,0.011974939815520242,0.00543074820130846,0.022323159971556667
project maven,0.2629313160695779,0.07379658156095689,0.013119234052905007,0.008496768234348915,0.052119873075270225,0.02627424805120058,0.029851501468277437,0.011094317336875114,0.021560196062587158,0.0032208276272626523,0.03957750417709901
3gpp,0.01415553917496719,0.1016071338831683,0.025915602083570043,,0.22220807677330442,0.23886306909538618,0.013832780371453758,0.0023752969121140144,0.0025922552276638794,0.016039567651856452,0.0187406069351312
secure by design,0.019230769230769232,0.12406846027535684,0.019230769230769232,,0.07692307692307693,0.05769230769230771,0.019230769230769232,,0.019230769230769232,,0.07692307692307693
empowerment,0.026608126010740515,0.08115086475306325,0.008599504788953556,0.005848412159239528,0.06207151015381219,0.03565141802240676,0.02630152493205422,0.0028977515792839976,0.01315192752482245,0.003484361637800156,0.017869812380182763
level playing field,0.02453961888617115,0.08013661479072348,0.013579745771831565,0.00488177702323341,0.058371165088239724,0.03684163381295794,0.023365750783292377,0.0023994965139721575,0.010708564211116739,0.0043500113490644275,0.020861945610242075
algorithmic discrimination,0.015873015873015872,0.07936507936507936,0.005291005291005291,0.005291005291005291,0.031746031746031744,0.01058201058201058,0.021164021164021163,0.005291005291005291,0.015873015873015872,,0.005291005291005291
factcheck,0.026605864717580485,0.07858645091364196,0.009399486923120098,0.004820205127833461,0.055099905852812076,0.028928178864203954,0.026503193070767275,0.0033681438708979662,0.013282976736611619,0.003725658783977752,0.017946079234319366
object recognition,0.029236316336646407,0.08071067990816495,0.010549588963085804,0.004445046137061333,0.05274892381330776,0.0443167082501367,0.013658183588655382,0.0026473426681638463,0.008134109745865432,0.003443513478470451,0.027109451174572367
artificial intelligence,0.020186672969497933,0.08322732529575604,0.014281750372531026,0.002527560114294037,0.05337645312188775,0.03379789224498961,0.01931635149757525,0.002962789244860908,0.008196704297119562,0.002517970916548459,0.021006167136702482
backward compatibility,0.034793599977364774,0.07251741612431975,0.009430793939258048,0.0037081539977213596,0.061115404809290695,0.04480567507903511,0.016464702901308373,0.0015423260929462123,0.007773500932978366,0.002622275753356675,0.01937851576084767
hyperledger,0.01795329629670019,0.09627054348405994,0.014280467439261512,0.0028879841995321657,0.051439741173594025,0.0436681143008606,0.010282875371383378,0.0036295567983523833,0.004747369367981399,0.0033944721938692496,0.01652078540823564
twitter,0.02896103419181225,0.07947183232702504,0.009550362450396777,0.00620478769630006,0.06089233609887985,0.03333172903812226,0.027207961236412278,0.002645701651831104,0.01422056688358751,0.003443231214451831,0.01814853209910876
internet,0.028859381592367433,0.07589825340212557,0.009115071640749702,0.004940684493392551,0.05191331304625539,0.029897780997744105,0.021737918014008203,0.002360161387201918,0.010307887930823018,0.0029389874726745775,0.017722627183285048
cyber sovereignty,0.011363636363636364,0.13636363636363635,0.022727272727272728,,0.045454545454545456,0.022727272727272728,0.022727272727272728,,0.011363636363636364,,0.03409090909090909
microtargeting,0.04006166553346821,0.07620074591131759,0.009330433618273608,0.0016339869281045752,0.0469691909589679,0.03583854120807597,0.014338782303704162,0.0046275030233046835,0.0037144228142981127,0.009555468087865818,0.03002929416875582
quantum technology,0.06328842210585374,0.09464987810354647,0.043885208601350756,0.016260162601626018,0.046646892717003174,0.036001632940652506,0.031856263848792345,0.03677411432853531,0.016260162601626018,,0.051275468541121715
global basic income,0.016576257861635222,0.1715929442421692,0.031446540880503145,,0.05092437937473509,0.032417414666910914,0.06121212121212122,0.006666666666666668,0.06666666666666668,,0.033071070964063636
virtual reality,0.02636910998350836,0.07965504250521913,0.010876563656711268,0.003343362948912191,0.054162951033455635,0.03684469846819419,0.017275520074826297,0.002964938483820038,0.0068996818368323954,0.0026301462605337073,0.019886401647879644
financial technology,0.024718721368649783,0.10225467311378862,0.013978649433978405,0.0035862190657158332,0.06871553136066322,0.05761868933966109,0.01755678015360932,0.0047446062698036275,0.004647072566042475,0.006344282747389931,0.020170430209604788
personal data,0.024385259956749696,0.08244488188006165,0.010216343539933163,0.004294849206099689,0.05115279120065003,0.03019544066783716,0.019461692525383892,0.002353270755256089,0.008799618511024192,0.0025962918160399267,0.01989889862033105
secure communication,0.029867688073999418,0.0786450538731167,0.014794481614150133,0.01614904492188513,0.07602637203087369,0.05127281694333455,0.029559377872778944,0.0064525201922315464,0.018498498283980615,0.01283717005408367,0.029558264065037795
price discrimination,0.025543878545468596,0.08775493843833622,0.01710879107246006,0.003941296747285925,0.044383423701552155,0.028742595984987542,0.016976669139635685,0.007464785347570235,0.006515978979837594,0.005680297252587545,0.03303782506587415
nanotechnology,0.023090934639355503,0.07819060998739623,0.012190038087911673,0.00313057482387132,0.0505877369445015,0.032224755280445896,0.01934350490694753,0.002813066969557076,0.007978363364615642,0.00465416428685448,0.02002336692963994
smartphone,0.02487235639804477,0.07749858915228154,0.008751476267226688,0.0033418714510251245,0.049035417833288325,0.03228581304715788,0.016442283434597554,0.001906802152544424,0.006576793497535291,0.0027663982493454924,0.01814993969433049
robot ethics,0.0442829260520603,0.06962720119569334,0.013912231559290384,0.0022222222222222227,0.0694996971721439,0.05154185270301967,0.0297763804643832,0.018836608900506664,0.006682946682946683,0.007356797791580399,0.03775034185106129
